fishery_name,est_cg,param,bias_type,mean,sd,median,q2.5,q10,q90,q97.5,rhat,ess_bulk,ess_tail,post_var,prior_sigma,prior_var,prior_contraction,fit_config,model_file,n_div,runtime_sec,b_trailer_informed,b_weakly_informed,informed_flag
Skagit fall salmon 2026,Chinook|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept|Released,b[1],vehicle,0.7765311830447678,0.0996378625194659,0.7799723058763101,0.6136619068297663,0.6281213986863178,0.9152350537303744,0.947001901582074,1.065153637855185,26.821107190418644,42.56756756756756,0.00992770364744798,1,4.670774270471604,0.9978745057944224,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,0,4.608457803726196,TRUE,FALSE,unconverged
Skagit fall salmon 2026,Chinook|Coho|Pink_Adult|Jack_AD|UM|UNK_Kept|Released,b[2],trailer,0.8083766236727239,0.10130292177082224,0.8062923282165406,0.6514863767112962,0.6995517110748699,0.9287793405284602,0.995430473459182,0.9868295635407413,24.367748911480703,12.662468176336594,0.01026228195930532,1,4.670774270471604,0.997802873492692,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,0,4.608457803726196,TRUE,FALSE,unconverged
Skagit spring Chinook 2026 lower,Chinook_Adult_UM_Kept|Released,b[1],vehicle,0.9683779640835264,0.13841628673035414,0.966521447361134,0.7420912301537397,0.8138166202636364,1.116516382457317,1.2288047792596009,1.0291666801557366,38.220373055277534,13.417577736759906,0.01915906843221961,1,4.670774270471604,0.9958980958353432,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,0,6.26473593711853,TRUE,FALSE,unconverged
Skagit spring Chinook 2026 lower,Chinook_Adult_UM_Kept|Released,b[2],trailer,0.8496746509056747,0.14219699554962992,0.8444625395745302,0.6118725744669611,0.6818308742344161,1.0431645213383416,1.1328731517841666,0.991684397548168,22.710926394833635,30.249679897567223,0.02021998554334147,1,4.670774270471604,0.99567095638272,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,0,6.26473593711853,TRUE,FALSE,unconverged
Skagit spring Chinook 2026 upper,Chinook_Adult|Jack_AD|UM_Kept|Released,b[1],vehicle,1.0770286550065318,0.07482027656691562,1.0999050157452106,0.9545823445362164,0.969382347608311,1.1603836199585058,1.1919502643307565,0.9992075295881592,31.671097382721804,16.142808336180387,0.00559807378554974,1,4.670774270471604,0.9988014677093388,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,2,22.774601936340332,TRUE,FALSE,unconverged
Skagit spring Chinook 2026 upper,Chinook_Adult|Jack_AD|UM_Kept|Released,b[2],trailer,0.9150416192478974,0.1647947107558095,0.9218330538297348,0.6969344168590752,0.7121785585059629,1.1332182105017106,1.2412151072431377,1.0175827451548378,23.279270158498893,19.712140175219027,0.02715729669309092,1,4.670774270471604,0.9941856970342632,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,2,22.774601936340332,TRUE,FALSE,unconverged
Skagit summer sockeye 2026,Chinook|Pink|Sockeye_Adult|Jack_AD|UM|UNK_Kept|Released,b[1],vehicle,0.7565755347831551,0.06691392121203472,0.7541694535169178,0.6480630708108777,0.6880394698626047,0.8314945813731656,0.8886479268832286,1.0434414808481136,20.135159648970824,14.703594211918467,0.00447747285197039,1,4.670774270471604,0.9990413853051566,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,0,16.006234884262085,TRUE,FALSE,unconverged
Skagit summer sockeye 2026,Chinook|Pink|Sockeye_Adult|Jack_AD|UM|UNK_Kept|Released,b[2],trailer,0.7848049056044251,0.08039306192920755,0.7784782319281323,0.681672287350574,0.6956578125079789,0.8705181479664996,0.9665692546903984,0.99562577997668,44.31363764158987,21.910503130071877,0.0064630444063534,1,4.670774270471604,0.9986162798645156,smoke,BSS_creel_model_02_2021-01-22_ppc.stan,0,16.006234884262085,TRUE,FALSE,unconverged
Skagit fall salmon 2021,Coho_Adult_AD|UM_Kept,b[1],vehicle,0.6756229280200391,0.03033256547149781,0.6754173044822278,0.6179466997548734,0.6366435574048235,0.7152524969432796,0.7309140546850421,1.000317449413871,945.4026459353496,558.5470403519804,9.200645280827012e-4,1,4.670774270471604,0.9998030167002718,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,5115.3529279232025,TRUE,FALSE,informed
Skagit fall salmon 2021,Coho_Adult_AD|UM_Kept,b[2],trailer,0.6374794622015657,0.0405931068213807,0.6358511332183666,0.5647357151309919,0.5865705429332952,0.6901682327228129,0.7270666962249052,1.003671684028365,725.6968446323941,583.7235721278181,0.00164780032141202,1,4.670774270471604,0.9996472104567696,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,5115.3529279232025,TRUE,FALSE,informed
Skagit spring Chinook 2021 upper,Chinook_Adult_AD_Kept,b[1],vehicle,1.7466620967885698,0.3235354650392025,1.7124371003954135,1.239271627269254,1.3780744710245876,2.1435642091679332,2.4311165205257503,1.1287112476748673,11.872340076914837,241.94603144664,0.10467519713813302,1,4.670774270471604,0.9775893265063388,quick,BSS_creel_model_02_2021-01-22_ppc.stan,10,377.41245889663696,TRUE,FALSE,unconverged
Skagit spring Chinook 2021 upper,Chinook_Adult_AD_Kept,b[2],trailer,1.1462894054947936,0.25668334574268753,1.1331708106175644,0.7307428395456969,0.8310384726673989,1.4723760561393922,1.6499024867993517,1.0155746881159018,38.490318749282544,127.94978108744073,0.06588633998166006,1,4.670774270471604,0.9858939147630854,quick,BSS_creel_model_02_2021-01-22_ppc.stan,10,377.41245889663696,TRUE,FALSE,unconverged
Skagit fall salmon 2022,Coho_Adult_AD|UM_Kept,b[1],vehicle,0.9767402026826176,0.03968268196258871,0.9743628670558072,0.9034314075498056,0.927414641290852,1.026465106142033,1.055762316436741,1.0007794132124888,705.148921155406,352.7271218095036,0.00157471524774396,1,4.670774270471604,0.9996628577712052,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,769.7007501125336,TRUE,FALSE,informed
Skagit fall salmon 2022,Coho_Adult_AD|UM_Kept,b[2],trailer,0.9275544336714652,0.04472467932157619,0.9268016568756762,0.8482754436655159,0.8700931476849061,0.9859092659235978,1.0201268817379483,1.002259671321011,758.680741832949,436.6848883094089,0.00200029694041782,1,4.670774270471604,0.9995717418944728,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,769.7007501125336,TRUE,FALSE,informed
Skagit spring Chinook 2022 lower,Chinook_Adult_AD_Kept,b[1],vehicle,1.1621377444762904,0.15568723276618485,1.155652306410195,0.8907923522558268,0.96367947637455,1.3584638331189842,1.4879447719177188,1.003374716080035,365.6758085366151,361.6678775729158,0.02423851444639222,1,4.670774270471604,0.9948106003324488,quick,BSS_creel_model_02_2021-01-22_ppc.stan,30,70.06066703796387,TRUE,FALSE,informed
Skagit spring Chinook 2022 lower,Chinook_Adult_AD_Kept,b[2],trailer,0.8012988824426945,0.14894026242352043,0.7863983669446166,0.5575718191080834,0.6235454223676102,0.9928680576615776,1.1318392150840837,1.0000331383983547,315.44183340646185,352.93321824268145,0.02218320177078713,1,4.670774270471604,0.99525063715645,quick,BSS_creel_model_02_2021-01-22_ppc.stan,30,70.06066703796387,TRUE,FALSE,informed
Skagit summer sockeye 2022,Sockeye_Adult_AD|UM_Kept,b[1],vehicle,0.9149908732780774,0.07758908163446268,0.9103443026724618,0.7751215773544254,0.8163264261700401,1.012211902625248,1.0785246287703374,0.9995081451705984,632.7186067960052,469.2132617119691,0.00602006558887931,1,4.670774270471604,0.9987111204180992,quick,BSS_creel_model_02_2021-01-22_ppc.stan,15,236.67507100105288,TRUE,FALSE,informed
Skagit summer sockeye 2022,Sockeye_Adult_AD|UM_Kept,b[2],trailer,0.720572379753802,0.09589290949265504,0.7099797122012503,0.5549166436479983,0.6032439293176103,0.8448048167432878,0.94323322467777,1.0061089140728436,539.682438511124,526.9762884566188,0.00919545009096653,1,4.670774270471604,0.9980312792786628,quick,BSS_creel_model_02_2021-01-22_ppc.stan,15,236.67507100105288,TRUE,FALSE,informed
Skagit fall salmon 2023,Coho_Adult_AD|UM_Kept,b[1],vehicle,0.8406504404962638,0.02879819529943613,0.8401167680108742,0.788505390483236,0.8044183457740256,0.878717979852632,0.9028310263272076,0.9997191166795468,618.5446463147513,433.0845437307974,8.293360525044657e-4,1,4.670774270471604,0.9998224414188142,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,2591.0690438747406,TRUE,FALSE,informed
Skagit fall salmon 2023,Coho_Adult_AD|UM_Kept,b[2],trailer,0.7519653038238239,0.03457588824239634,0.7499355336207476,0.688072943446467,0.7102941397878313,0.7959626237345279,0.8219910404344485,1.004157351282352,444.705470687336,424.6463613090088,0.00119549204775068,1,4.670774270471604,0.9997440484214132,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,2591.0690438747406,TRUE,FALSE,informed
Skagit spring Chinook 2023 lower,Chinook_Adult_AD_Kept,b[1],vehicle,1.085311233767306,0.1849989428534388,1.0702388192561194,0.7611096706448065,0.8466019787907253,1.3216074574666774,1.4981148118035186,1.001538895390622,532.5574498872635,455.9630522680887,0.03422460885688992,1,4.670774270471604,0.9926726048241604,quick,BSS_creel_model_02_2021-01-22_ppc.stan,32,56.51935601234436,TRUE,FALSE,informed
